freq,phase(Zin2)
2420000000.0000000000,-89.3336930753
2425000000.0000000000,-89.3302483068
2430000000.0000000000,-89.3268575523
2435000000.0000000000,-89.3235213675
2440000000.0000000000,-89.3202079368
2445000000.0000000000,-89.3165752685
2450000000.0000000000,-89.3129941024
2455000000.0000000000,-89.3094649697
2460000000.0000000000,-89.3059884106
2465000000.0000000000,-89.3025332941
2469999999.9999995232,-89.2988137735
2475000000.0000000000,-89.2951440847
2480000000.0000000000,-89.2915247471
2485000000.0000004768,-89.2879562889
2490000000.0000000000,-89.2844034872
2495000000.0000000000,-89.2805868267
2500000000.0000000000,-89.2768183692
2505000000.0000000000,-89.2730986224
2510000000.0000000000,-89.2694281031
2514999999.9999995232,-89.2657699901
2520000000.0000000000,-89.2618690225
2525000000.0000000000,-89.2580147027
2530000000.0000004768,-89.2542075276
2535000000.0000000000,-89.2504480028
2540000000.0000000000,-89.2466881089
2545000000.0000000000,-89.2426346130
2550000000.0000000000,-89.2386257585
2555000000.0000000000,-89.2346620251
2560000000.0000000000,-89.2307439014
2565000000.0000000000,-89.2268265919
2570000000.0000000000,-89.2226663034
2575000000.0000000000,-89.2185489849
2580000000.0000000000,-89.2144751033
2585000000.0000000000,-89.2104451340
2590000000.0000000000,-89.2064117239
2594999999.9999995232,-89.2021446494
2600000000.0000000000,-89.1979189314
2605000000.0000000000,-89.1937350242
2610000000.0000004768,-89.1895933907
2615000000.0000000000,-89.1854411540
2620000000.0000000000,-89.1810471695
2625000000.0000000000,-89.1766927533
2630000000.0000000000,-89.1723783447
2635000000.0000000000,-89.1681043908
2639999999.9999995232,-89.1638097781
2645000000.0000000000,-89.1592534504
2650000000.0000000000,-89.1547346750
2655000000.0000004768,-89.1502538727
2660000000.0000000000,-89.1458114720
2665000000.0000000000,-89.1413466649
2670000000.0000000000,-89.1366419882
2675000000.0000000000,-89.1319729367
2680000000.0000000000,-89.1273399136
2685000000.0000000000,-89.1227433295
2690000000.0000000000,-89.1181279639
2695000000.0000000000,-89.1133144860
2700000000.0000000000,-89.1085350796
2705000000.0000000000,-89.1037901348
2710000000.0000000000,-89.0990800490
2715000000.0000000000,-89.0943284632
2719999999.9999995232,-89.0893100306
2725000000.0000000000,-89.0843232900
2730000000.0000000000,-89.0793686068
2735000000.0000004768,-89.0744463536
2740000000.0000000000,-89.0694952172
2745000000.0000000000,-89.0643498800
2750000000.0000000000,-89.0592345609
2755000000.0000000000,-89.0541496101
2760000000.0000000000,-89.0490953844
2764999999.9999995232,-89.0439977681
2770000000.0000000000,-89.0386743956
2775000000.0000000000,-89.0333788517
2780000000.0000004768,-89.0281114638
2785000000.0000000000,-89.0228725654
2790000000.0000000000,-89.0175757939
2795000000.0000000000,-89.0120271080
2800000000.0000000000,-89.0065037428
2805000000.0000000000,-89.0010059976
2810000000.0000000000,-88.9955341776
2815000000.0000000000,-88.9900177069
2820000000.0000000000,-88.9843115539
2825000000.0000000000,-88.9786287055
